"year"	"inv"	"pop"	"price"	"linv"	"lpop"	"lprice"	"t"	"invpc"	"linvpc"	"lprice_1"	"linvpc_1"	"gprice"	"ginvpc"
"1"	1947	54864	144126	0.819	10.91261	11.87844	-0.1996712	1	0.3806669	-0.9658305	"."	"."	"."	"."
"2"	1948	64717	146631	0.8649	11.07778	11.89567	-0.1451414	2	0.4413596	-0.8178953	"-0.1996712"	"-0.9658305"	"0.0545298"	"0.1479352"
"3"	1949	63150	149188	0.8456	11.05327	11.91296	-0.1677088	3	0.4232914	-0.8596944	"-0.1451414"	"-0.8178953"	"-0.0225674"	"-0.0417991"
"4"	1950	86014	151684	0.8765	11.36227	11.92955	-0.1318186	4	0.5670605	-0.5672894	"-0.1677088"	"-0.8596944"	"0.0358903"	"0.2924051"
"5"	1951	70610	154287	0.8819	11.16493	11.94657	-0.1256766	5	0.4576536	-0.7816427	"-0.1318186"	"-0.5672894"	"0.006142"	"-0.2143534"
"6"	1952	68574	156954	0.8842	11.13567	11.96371	-0.123072	6	0.4369051	-0.8280393	"-0.1256766"	"-0.7816427"	"0.0026046"	"-0.0463966"
"7"	1953	70818	159565	0.8868	11.16787	11.98021	-0.1201358	7	0.4438191	-0.8123382	"-0.123072"	"-0.8280393"	"0.0029362"	"0.0157011"
"8"	1954	78460	162391	0.8597	11.27034	11.99776	-0.1511718	8	0.4831549	-0.7274181	"-0.1201358"	"-0.8123382"	"-0.0310359"	"0.0849201"
"9"	1955	91204	165275	0.8708	11.42085	12.01537	-0.1383429	9	0.5518318	-0.594512	"-0.1511718"	"-0.7274181"	"0.0128288"	"0.132906"
"10"	1956	80383	168221	0.8829	11.29456	12.03303	-0.1245433	10	0.4778416	-0.7384759	"-0.1383429"	"-0.594512"	"0.0137996"	"-0.1439638"
"11"	1957	74040	171274	0.8722	11.21236	12.05102	-0.1367365	11	0.4322898	-0.8386591	"-0.1245433"	"-0.7384759"	"-0.0121932"	"-0.1001832"
"12"	1958	74822	174141	0.8521	11.22287	12.06762	-0.1600514	12	0.4296633	-0.8447533	"-0.1367365"	"-0.8386591"	"-0.0233149"	"-0.0060942"
"13"	1959	88936	177830	0.8647	11.39567	12.08858	-0.1453726	13	0.5001181	-0.692911	"-0.1600514"	"-0.8447533"	"0.0146787"	"0.1518423"
"14"	1960	83127	180671	0.862	11.32813	12.10443	-0.1485	14	0.4601015	-0.7763081	"-0.1453726"	"-0.692911"	"-0.0031274"	"-0.0833971"
"15"	1961	83207	183691	0.8553	11.32909	12.12101	-0.156303	15	0.4529727	-0.7919235	"-0.1485"	"-0.7763081"	"-0.007803"	"-0.0156154"
"16"	1962	89121	186538	0.8593	11.39775	12.13639	-0.1516372	16	0.4777632	-0.73864	"-0.156303"	"-0.7919235"	"0.0046658"	"0.0532835"
"17"	1963	96778	189242	0.8656	11.48018	12.15078	-0.1443324	17	0.5113981	-0.670607	"-0.1516372"	"-0.73864"	"0.0073048"	"0.068033"
"18"	1964	94306	191889	0.8795	11.4543	12.16467	-0.1284017	18	0.4914612	-0.7103723	"-0.1443324"	"-0.670607"	"0.0159306"	"-0.0397653"
"19"	1965	100103	194303	0.8774	11.51396	12.17717	-0.1307923	19	0.5151902	-0.6632192	"-0.1284017"	"-0.7103723"	"-0.0023906"	"0.0471531"
"20"	1966	92145	196560	0.8783	11.43112	12.18872	-0.129767	20	0.4687881	-0.7576043	"-0.1307923"	"-0.6632192"	"0.0010253"	"-0.0943851"
"21"	1967	91336	198712	0.8919	11.4223	12.19961	-0.1144013	21	0.4596401	-0.7773115	"-0.129767"	"-0.7576043"	"0.0153658"	"-0.0197072"
"22"	1968	99617	200706	0.9036	11.50909	12.2096	-0.1013685	22	0.4963329	-0.7005083	"-0.1144013"	"-0.7773115"	"0.0130327"	"0.0768032"
"23"	1969	102183	202677	0.9152	11.53452	12.21937	-0.0886127	23	0.5041667	-0.6848482	"-0.1013685"	"-0.7005083"	"0.0127559"	"0.01566"
"24"	1970	96855	205052	0.8823	11.48097	12.23102	-0.1252231	24	0.4723436	-0.7500486	"-0.0886127"	"-0.6848482"	"-0.0366105"	"-0.0652003"
